"ruleId","ruleType","fieldId","description","noticeSubtype","condition","expression","target","severity","cvsStage"
"BR-BT-00001-0203","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type .","E5","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0257","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type .","E6","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0260","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type .","E1","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0261","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0262","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0263","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0264","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Prior information notice used only for information – general directive.","4","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0265","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0266","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Prior information notice used only for information – defence directive.","6","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0267","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type .","E2","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0268","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type .","T01","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0269","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – general directive.","7","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0270","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Periodic indicative notice used to shorten time limits for receipt of tenders – sectoral directive.","8","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0271","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – defence directive.","9","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0272","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Prior information notice used as a call for competition - general directive, standard regime.","10","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0273","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, standard regime.","11","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0274","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type .","CEI","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0275","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Prior information notice used as a call for competition - general directive, light regime.","12","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0276","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, light regime.","13","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0277","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Prior information notice used as a call for competition - concessions directive, light regime.","14","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0278","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Notice on the existence of a qualification system – sectoral directive.","15","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0279","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract notice – general directive, standard regime.","16","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0280","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract notice – sectoral directive, standard regime.","17","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0281","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract notice – defence directive, standard regime .","18","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0282","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Concession notice – concessions directive, standard regime.","19","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0283","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type .","E3","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0284","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract notice – general directive, light regime.","20","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0285","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract notice – sectoral directive, light regime.","21","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0286","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Subcontract notice – defence directive.","22","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0287","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Design contest notice – general directive, design.","23","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0288","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Design contest notice – sectoral directive, design.","24","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0289","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Voluntary ex-ante transparency notice – general directive.","25","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0290","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Voluntary ex-ante transparency notice – sectoral directive.","26","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0291","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Voluntary ex-ante transparency notice – defence directive.","27","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0292","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Voluntary ex-ante transparency notice – concession directive.","28","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0293","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract award notice – general directive, standard regime.","29","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0294","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract award notice – sectoral directive, standard regime.","30","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0295","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract award notice – defence directive, standard regime.","31","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0296","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Concession award notice – concession directive, standard regime.","32","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0297","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type .","E4","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0298","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type .","T02","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0299","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract award notice – general directive, light regime.","33","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0300","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract award notice – sectoral directive, light regime.","34","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0301","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Concession award notice – concessions directive, light regime.","35","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0302","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Design contest result notice – general directive, design.","36","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0303","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Design contest result notice – sectoral directive, design.","37","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0304","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract modification notice – general directive.","38","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0305","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract modification notice – sectoral directive.","39","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0306","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type Contract modification notice – concessions directive.","40","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0307","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type .","E5","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00001-0308","forbidden","BT-01(d)-Procedure","The BT-01 Legal basis of the procedure (description) is forbidden at Notice level for a notice of type .","E6","BT-01(c)-Procedure is not present","NULL","all","ERROR","4"
"BR-BT-00004-0001","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type .","X01","Always","NULL","all","ERROR","2"
"BR-BT-00004-0002","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type .","X02","Always","NULL","all","ERROR","2"
"BR-BT-00004-0003","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type .","E1","Always","NULL","all","ERROR","2"
"BR-BT-00004-0004","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","Always","NULL","all","ERROR","2"
"BR-BT-00004-0005","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","Always","NULL","all","ERROR","2"
"BR-BT-00004-0006","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","Always","NULL","all","ERROR","2"
"BR-BT-00004-0007","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Prior information notice used only for information – general directive.","4","Always","NULL","all","ERROR","2"
"BR-BT-00004-0008","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","Always","NULL","all","ERROR","2"
"BR-BT-00004-0009","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Prior information notice used only for information – defence directive.","6","Always","NULL","all","ERROR","2"
"BR-BT-00004-0010","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type .","E2","Always","NULL","all","ERROR","2"
"BR-BT-00004-0011","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type .","T01","Always","NULL","all","ERROR","2"
"BR-BT-00004-0012","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – general directive.","7","Always","NULL","all","ERROR","2"
"BR-BT-00004-0013","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Periodic indicative notice used to shorten time limits for receipt of tenders – sectoral directive.","8","Always","NULL","all","ERROR","2"
"BR-BT-00004-0014","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – defence directive.","9","Always","NULL","all","ERROR","2"
"BR-BT-00006-0001","forbidden","BT-06-Lot","The BT-06 Strategic Procurement is not allowed at Lot level for a notice of type .","X01","Always","NULL","all","ERROR","2"
"BR-BT-00006-0002","forbidden","BT-06-Lot","The BT-06 Strategic Procurement is not allowed at Lot level for a notice of type .","X02","Always","NULL","all","ERROR","2"
